ID,site,category,difficulty,task_description,task_id,task_link,evaluation_result,evaluation_reason,result_flag
25,https://www.airbnb.com,READ,easy,"Access the Help section and search booking safety at Airbnb and list three recommendations.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",ebbc4c3a-3d40-4d4d-b3ee-a9a527d1b859,https://cloud.browser-use.com/agent/ebbc4c3a-3d40-4d4d-b3ee-a9a527d1b859,success,"The user successfully accessed the Help section and searched for booking safety, and listed three recommendations.",1
26,https://www.airbnb.com,UPDATE,easy,"Log in, access your account settings on Airbnb and change your notification preferences to mobile app notifications.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",9b6a6994-6fbd-49be-98ac-470b0a95771e,https://cloud.browser-use.com/agent/9b6a6994-6fbd-49be-98ac-470b0a95771e,failure,"(No video) The user was unable to log in. The user tried to log in by using the ""Continue with Google"" option first and then after several failed attempts, the user tried to log in using the ""Continue with email"" option.",0
27,https://www.alamy.com,READ,easy,"Find the article titled 'What We Can Learn About Imagery Usage from Kamala Harris and Donald Trump' and return the date it was posted.
Only use http://alamy.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",07242140-307a-4bf0-b55d-659bde5a73e2,https://cloud.browser-use.com/agent/07242140-307a-4bf0-b55d-659bde5a73e2,success,"The user was able to find the exact article and extract the date it was posted. However, the URL where the article was posted is ""https://ablog.wpengine.com/what-we-can-learn-about-imagery-usage-from-kamala-harris-and-donald-trump"". It seems that this is an extension of the alamy.com URL. Is this ok?",1
28,https://www.alamy.com,READ,easy,"What is the tagline listed on the Archives homepage?
Only use http://alamy.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",f5571b48-0ba6-4d4c-9a67-c83e53b57af8,https://cloud.browser-use.com/agent/f5571b48-0ba6-4d4c-9a67-c83e53b57af8,success,The user successfully extracted the tagline listed on the Archives page.,1
29,https://www.alamy.com,READ,easy,"Search for 'Red Flowers' and report how many results there are
Only use http://alamy.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",c4bc3476-2dc9-48ec-8f92-f619ddb7dbb3,https://cloud.browser-use.com/agent/c4bc3476-2dc9-48ec-8f92-f619ddb7dbb3,failure,"The user was unable to search for 'Red Flowers'. It seems that the user clicked the search button without typing 'Red Flowers', thus giving the 'Sorry, we couldn't find any results for""""' message on the results page.",0
30,https://www.alberta.ca,READ,easy,"Use the unified search feature on Alberta.ca to search for ""environmental regulations"" and provide the URL of the page that details guidelines on environmental impact assessments.
Only use http://alberta.ca to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",e9422fc3-5b64-4540-b084-fcd8955af8e6,https://cloud.browser-use.com/agent/e9422fc3-5b64-4540-b084-fcd8955af8e6,failure,"The correct link is https://www.alberta.ca/environmental-impact-assessments
However, the task can be reworded to just search for the page dedicated to environmental impact assessments.",0
31,https://www.alberta.ca,READ,easy,"Search for and summarize the eligibility criteria for the Alberta Job Grant program.
Only use http://alberta.ca to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",f49c9727-f94f-42d2-858b-560a8a7e66f5,https://cloud.browser-use.com/agent/f49c9727-f94f-42d2-858b-560a8a7e66f5,success,The user successfully searched for the eligibility criteria for the Alberta Job Grant program.,1
32,https://www.alberta.ca,READ,easy,"Visit the Open Government portal on Alberta.ca and list the different categories of public datasets available for download.
Only use http://alberta.ca to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",fd2f8ccb-7110-4001-b66f-fe596d79980d,https://cloud.browser-use.com/agent/fd2f8ccb-7110-4001-b66f-fe596d79980d,success,The user successfully navigated to the Open Government portal and listed the different categories of public datasets available for download.,1
33,https://www.alibaba.com,READ,easy,"Search for ""smartphones"" on Alibaba and note how many listings are available.
Only use http://alibaba.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",40af1dd2-164b-4d8f-95ce-3658ea000671,https://cloud.browser-use.com/agent/40af1dd2-164b-4d8f-95ce-3658ea000671,failure,"The user was unable to search for ""smartphones"" in Alibaba. Based on the summary of actions, it seems that the user tried several times to input the text 'smartphones' in the search bar, but nothing was happening.",0
35,https://www.alibaba.com,READ,hard,"Search for ""RFID tags"", filter by a minimum order quantity of less than 1000, and list the first 3 supplier names.
Only use http://alibaba.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",2d597cfc-a2eb-46f9-9bd1-dc0a1d204274,https://cloud.browser-use.com/agent/2d597cfc-a2eb-46f9-9bd1-dc0a1d204274,failure,"The user was unable to search for ""RFID tags"" in Alibaba. Based on the summary of actions, it seems that the user tried several times to input the text 'RFID tags' in the search bar, but nothing was happening.",0
36,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,hard,"Search for 'Bluetooth speakers', filter to only show items shipped from USA, and then find my one with 4.0+ review score and bluetooth 5.0. Add it to my cart.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",fc2779ad-03c5-4a4e-a45c-40050f0e31ff,https://cloud.browser-use.com/agent/fc2779ad-03c5-4a4e-a45c-40050f0e31ff,failure,"The user was unable to filter the results to only show items shipped from USA. Also, it seems that the user was unable to add an item to the cart. According to the summary, it tried several times to click the ""add to cart"" button. 
- I also noticed that the quantity of the chosen item increased. By the end of the video, the quantity is 16.",0
37,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,easy,"Go to Coupon Center and collect 1 coupon for my account, then confirm its been added to the profile.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",d2e253f6-9b20-4cf5-aa35-17e1618218c7,https://cloud.browser-use.com/agent/d2e253f6-9b20-4cf5-aa35-17e1618218c7,failure,"Apart from the log in and captcha issues, the user was unable to find the Coupon Center - https://sale.aliexpress.com/__pc/828_coupon_center.htm",0
38,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,hard,"Redeem a coupon code that gives discounts for orders over a certain amount. Then add items to the cart until there is enough total cost to redeem the coupon, and apply it to the total cart price. Return the final price of the shoppingcart.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",1e726904-63fb-4cc5-b7ed-f63ce5c519af,https://cloud.browser-use.com/agent/1e726904-63fb-4cc5-b7ed-f63ce5c519af,failure,"(No video) In the summary, it seems that the user was unable to solve CAPTCHA while adding items to cart and was unable to move forward.",0
39,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,easy,"Change my default shipping address to 92 2nd Ave, New York, New York
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",2529333d-dc8b-4807-aebe-0a9cbbcf9feb,https://cloud.browser-use.com/agent/2529333d-dc8b-4807-aebe-0a9cbbcf9feb,failure,"The user was unable to log in. It was trying to log in using the Google option for several times in the pop up window for logging in. The text box for email log in is the primary option, but the user was just trying to log in using the Google option.",0
40,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,easy,"Search up a highly ranked woman's wool sweater, and message the seller asking if they do custom sizing for their sweaters.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",6088e1fa-dda4-4d52-a6a8-91bcd85fd9e1,https://cloud.browser-use.com/agent/6088e1fa-dda4-4d52-a6a8-91bcd85fd9e1,failure,"The user was able to find a highly ranked woman's wool sweater. However, the user was unsuccesful in messaging the seller as it needed to log in first to send a message. During log in, the user was redirected to a ""Please slide to verify"" page, which the user was unable to do so.",0
41,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,READ,easy,"Find me black leather belts for men and return the number of reviews
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",056c22fe-2a2f-4772-9279-c9950b7d3e95,https://cloud.browser-use.com/agent/056c22fe-2a2f-4772-9279-c9950b7d3e95,failure,The user returned with the number of times the belts were sold and not the number of reviews.,0
43,https://aliexpress.com,READ,hard,"How do I cancel an order that has already shipped?
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",15b5fc6c-b23f-43e5-a1be-1281f4303d96,https://cloud.browser-use.com/agent/15b5fc6c-b23f-43e5-a1be-1281f4303d96,failure,The bot needs credentials to sign in and perform the task but the sign-in attempt failed due to the missing credentials.,0
44,https://aliexpress.com,READ,easy,"Find at least three different styles of black leather belts for men. Compare their prices, and recommend the one with lowest price. 
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",52a4584a-835f-4bf5-bd7f-94d5aa2ac2a6,https://cloud.browser-use.com/agent/52a4584a-835f-4bf5-bd7f-94d5aa2ac2a6,success,"AI bot successfully extracted the three different styles of black leather belts for men Compared their prices, and recommend the one with lowest price",1
45,https://aliexpress.com,READ,hard,"Find a smart watch with more than 20 reviews. Filter the reviews to the most recent and summarize the most common positive and negative points mentioned by customers.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",84dc4e14-f141-424b-a999-a7ea6b3e76e9,https://cloud.browser-use.com/agent/84dc4e14-f141-424b-a999-a7ea6b3e76e9,success,AI bot successfully extracted the smart watch with more than 20 reviews and Filtered the reviews to the most recent and summarized the most common positive and negative points mentioned by customers,1
46,https://www.aljazeera.com,READ,easy,"Use the search function to find articles about “climate change” and provide the titles and publication dates of the first 5 results.
Only use http://aljazeera.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",7afacc4f-74c1-463e-9cd0-fc051254df30,https://cloud.browser-use.com/agent/7afacc4f-74c1-463e-9cd0-fc051254df30,success,AI bot successfully searched to find articles about “climate change” and provided the titles and publication dates of the first 5 results.,1
47,https://www.aljazeera.com,READ,easy,"Visit the Newsletters section and summarize the benefits of subscribing to Al Jazeera’s weekly newsletter.
Only use http://aljazeera.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",b6517305-35fd-4571-8fae-d38d7969e73e,https://cloud.browser-use.com/agent/b6517305-35fd-4571-8fae-d38d7969e73e,success,AI bot successfully extracted the Newsletters section and summarized the benefits of subscribing to Al Jazeera’s weekly newsletter,1
48,https://www.aljazeera.com,READ,easy,"In the Video section, locate the featured documentary on African economies and extract its title and a brief description.
Only use http://aljazeera.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",60e3589d-8882-4601-a9ee-348ae4095a2e,https://cloud.browser-use.com/agent/60e3589d-8882-4601-a9ee-348ae4095a2e,failure,When we search for a featured documentary on African economies on the website the information comes through but the bot fails to search and extract it.,0
49,https://www.allrecipes.com,CREATE,easy,"Log in and submit a new original recipe titled ""Spicy Mango Salsa"" including a list of ingredients and step-by-step instructions.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",ea6ec875-422e-4444-911b-c47152943e94,https://cloud.browser-use.com/agent/ea6ec875-422e-4444-911b-c47152943e94,success,"AI bot successfully Logged-in and submited a new original recipe titled ""Spicy Mango Salsa"" including a list of ingredients and step-by-step instructions.",1
50,https://www.allrecipes.com,CREATE,easy,"Log in to your account, create a new collection titled ""Weekend Baking"" and add at least 3 dessert recipes to it.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",fc9b5178-ef93-4ecb-899e-e110f0bc6cde,https://cloud.browser-use.com/agent/fc9b5178-ef93-4ecb-899e-e110f0bc6cde,failure,"The AI bot has successfully logged in, but it fails to create a new collection ""Weekend Baking"" and add three dessert recipes to it.",0
51,https://www.allrecipes.com,CREATE,easy,"Log in, write a detailed review for the ""Lemon Chicken Orzo Soup"" recipe including a 5-star rating and your comments on taste and presentation.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",ea6b15ba-d1e1-45aa-be40-dc8125f05a6c,https://cloud.browser-use.com/agent/ea6b15ba-d1e1-45aa-be40-dc8125f05a6c,failure,"Log-in was unsuccessfull due to Google verification blocking access so bot fails to write a detailed review for the ""Lemon Chicken Orzo Soup"" recipe",0
52,https://www.allrecipes.com,CREATE,easy,"Log in, post a review on a grilled salmon recipe describing your success in using a homemade marinade, and rate it with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",4d9139af-b25d-42c4-8584-d8e18bc2a133,https://cloud.browser-use.com/agent/4d9139af-b25d-42c4-8584-d8e18bc2a133,success,The AI bot has successfully logged in and posted a review on a grilled salmon recipe describing your success in using a homemade marinade and rateed it with 5 stars,1
53,https://www.allrecipes.com,CREATE,easy,"Log in and extract the ingredients for the ""Taco Salad"" recipe to create a shopping list.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",8238a13a-22f2-4ca9-a2a9-30aa0ea02c9e,https://cloud.browser-use.com/agent/8238a13a-22f2-4ca9-a2a9-30aa0ea02c9e,success,"The AI bot has successfully logged in and extracted the ingredients for the ""Taco Salad"" recipe to create a shopping list.",1
54,https://www.allrecipes.com,CREATE,easy,"Log in, write a brief tip as a review on the ""Best Brownies"" recipe suggesting an alternative baking time, and rate the recipe with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",ea716540-b545-4553-9a81-6615bb543ce8,https://cloud.browser-use.com/agent/ea716540-b545-4553-9a81-6615bb543ce8,success,"The AI bot has successfully logged in wrote a brief tip as a review on the ""Best Brownies"" recipe suggesting an alternative baking time, and rated the recipe with 5 stars.",1
55,https://www.allrecipes.com,CREATE,hard,"Log in to your account, go to ""Add a Recipe"" section, and submit an adapted version of the classic ""Meatloaf"" recipe with healthier ingredient substitutions.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",9df236cf-ac54-420c-b713-372ee3280ee8,https://cloud.browser-use.com/agent/9df236cf-ac54-420c-b713-372ee3280ee8,failure,"The bot was fails to access the ""Add a Recipe"" section and could not submit an adapted version of the classic ""Meatloaf"" recipe featuring healthier ingredient substitutions.",0
56,https://www.allrecipes.com,CREATE,easy,"Log in, create a new recipe collection titled ""Quick Weeknight Dinners"" and populate it with 5 chosen recipes.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",36722e1e-6377-4b26-a62c-220790a38840,https://cloud.browser-use.com/agent/36722e1e-6377-4b26-a62c-220790a38840,failure,The bot failed to complete the task due to Google authentication phone verification requirement.,0
57,https://www.allrecipes.com,CREATE,easy,"Log in, write a review for an ""Avocado Toast"" recipe, commenting on its nutritional information display and taste, and rate it with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",23aee198-2cdb-45b3-bb28-98f02bd5da50,https://cloud.browser-use.com/agent/23aee198-2cdb-45b3-bb28-98f02bd5da50,failure,The bot couldn't sign in due to login verification barriers.,0
58,https://www.allrecipes.com,CREATE,easy,"Log in and share your cooking experience on the ""Ultimate Pancake"" recipe page, detailing how you customized it, then rate the recipe with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",c651c457-0d8d-41df-ba61-9afb85b16ca2,https://cloud.browser-use.com/agent/c651c457-0d8d-41df-ba61-9afb85b16ca2,failure,The bot failed to sign in beacuse the website asksed for verification from phone number and it has tried to complete the task without logging in.,0
59,https://www.allrecipes.com,CREATE,easy,"Log in to your account and submit your own original recipe for ""Cinnamon Roll Muffins"" with clear step-by-step instructions.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",33ce6e6d-3b77-4ce9-8056-91e0099d348d,https://cloud.browser-use.com/agent/33ce6e6d-3b77-4ce9-8056-91e0099d348d,failure,The bot failed to sign in. For some reason the website is not accepting the email address given and is not allowing the bot to proceed to the next step and add the password.,0
60,https://www.allrecipes.com,CREATE,hard,"Log in, write a recipe variation comment on the ""Classic Caesar Salad"" recipe outlining your suggestion for a vegan dressing alternative, and rate the recipe with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",ddabfb8c-cf85-4985-8f22-1ed7ebb93582,https://cloud.browser-use.com/agent/ddabfb8c-cf85-4985-8f22-1ed7ebb93582,success,"The AI bot has successfully logged in and wrote a recipe variation comment on the ""Classic Caesar Salad"" recipe outlining our suggestion for a vegan dressing alternative, and rated the recipe with 5 stars.",1
61,https://www.allrecipes.com,CREATE,easy,"Log in to your allrecipes account and sign up to their Newsletter.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",811d3e5d-0840-4a34-85fb-70d703d1ba7e,https://cloud.browser-use.com/agent/811d3e5d-0840-4a34-85fb-70d703d1ba7e,success,The AI bot has successfully logged in to allrecipes account and signed up to their Newsletter.,1
62,https://www.allrecipes.com,DELETE,easy,"Log in, save the ""Best Brownies"" recipe to your Saved Recipes, then go to your Saved Recipes page and remove the recipe that you previously saved.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",7431e40d-caf6-4dc8-a3da-3995ec48ffdd,https://cloud.browser-use.com/agent/7431e40d-caf6-4dc8-a3da-3995ec48ffdd,failure,The bot fails to log in to the account using Google credentials due to required verification steps.,0
63,https://www.allrecipes.com,READ,easy,"Search for a seasonal, fall-appropriate recipe and note the recommended serving size mentioned.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",f72b4986-8a92-42ec-a364-103ceb912947,https://cloud.browser-use.com/agent/f72b4986-8a92-42ec-a364-103ceb912947,success,"The AI bot has successfully searched for a seasonal, fall-appropriate recipe and noted the recommended serving size mentioned.",1
64,https://www.allrecipes.com,READ,easy,"Browse the ""Recipes for Lent"" section and list the names of recipes with the highest number of ""I Made It"" clicks.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",1e223b40-13b4-48f8-a498-6c1c57c5d47f,https://cloud.browser-use.com/agent/1e223b40-13b4-48f8-a498-6c1c57c5d47f,failure,"Instead of navigating to the ""Lent"" section, the bot searched for it and went to Italian lent section, also the ""I Made It"" output was not extracted becasue the bot didnot go inside each recipe which showed the information required.",0
65,https://www.allrecipes.com,READ,easy,"Search for ""vegetarian pasta"" recipes and list the names of the first 10 displayed.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",01b3bd60-0e9a-4101-b043-536ab221d4ef,https://cloud.browser-use.com/agent/01b3bd60-0e9a-4101-b043-536ab221d4ef,success,"The AI bot has successfully searched for ""vegetarian pasta"" recipes and listed the names of the first 10 displayed.",1
66,https://www.allrecipes.com,READ,easy,"Search Comfort Food recipes and list the names of the first 3 recipes with a 30 minutes cook time.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",cedaee66-8418-44de-961d-d5eb7464b2a2,https://cloud.browser-use.com/agent/cedaee66-8418-44de-961d-d5eb7464b2a2,success,The AI bot has successfully searched Comfort Food recipes and listed the names of the first 3 recipes with a 30 minutes cook time,1
67,https://www.allrecipes.com,READ,easy,"Locate a ""chocolate chip cookie"" recipe page and summarize the calorie count from its nutritional information.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",d8acc730-92b8-44fb-8b2e-174b89785032,https://cloud.browser-use.com/agent/d8acc730-92b8-44fb-8b2e-174b89785032,success,"The AI bot has successfully extracted ""chocolate chip cookie"" recipe page and summarized the calorie count from its nutritional information.",1
